Group.1	x	sd	col	Main	min	max	min_percent	max_percent
Population core	1422.45952344047	3.62632933836965	#08519c	Core	1418.8331941021	1426.08585277883	30.1978373980008	30.3521998757986
Multi-cluster core	482.935650694325	65.8916618058585	#8c96c6	Core	417.043988888467	548.827312500184	8.87618545761297	11.6810052170726
Cluster specific core	43.0161033369635	55.0233370495508	#542788	Core	-12.0072337125873	98.0394403865143	-0.255556814401971	2.08662941612143
Cluster specific intermediate	25.5438781289804	22.7181450071126	#fa9fb5	Intermediate	2.82573312186782	48.262023136093	0.0601416922715227	1.02718820874825
Multi-cluster intermediate	10.7323833675371	7.12955122373157	#c51b8a	Intermediate	3.60283214380548	17.8619345912686	0.0766811346838984	0.380165757781138
Cluster specific rare	10.687476416517	8.79634559079622	#fec44f	Rare	1.89113082572076	19.4838220073132	0.0402500176982421	0.414685314182251
Multi-cluster rare	26.2173166649856	11.0200533424997	#d95f0e	Rare	15.197263322486	37.2373700074853	0.323452036937621	0.792544218227756
Core and intermediate	1801.78957821239	88.6746717479451	#238b45	Varied	1713.11490646445	1890.46424996034	36.4612031946739	40.2358305855423
Core and rare	71.3385966043396	12.9095070337221	#74c476	Varied	58.4290895706175	84.2481036380617	1.24357969175041	1.7931005176138
Core, intermediate and rare	614.690314965416	116.395231352183	#bae4b3	Varied	498.295083613233	731.085546317599	10.6054989224427	15.560111324925
Intermediate and rare	189.048791027727	51.4280894012097	#edf8e9	Varied	137.620701626517	240.476880428937	2.92906001043088	5.11820682188591
